source,output,grammer,fluency,meaning,system,ave_g,ave_f,ave_m
"For the young people, parents do not need to worry about where my kids will go after the school.","For young people, parents do not need to worry about where my kids will go after school.","2,3,3,3,2","3,3,3,2,1","3,4,3,3,3","smt,transformer,cnn",2.6,2.4,3.2
"Firstly, knowing where the travelers are and may going can assist them to know what the surroundings will be like and they can prepare better to protect themselves or they can change directions to avoid the potential danger.","Firstly, knowing where the travelers are and may go can assist them to know what the surroundings will be like and they can prepare better to protect themselves or they can change directions to avoid the potential danger.","3,3,3,3,3","3,3,3,2,3","3,4,4,3,3",cnn,3.0,2.8,3.4
The increase in population means the larger the natural resources are needed and people have to think out some idea like to prevent using too much natural resources.,The increase in population means the larger the natural resources are needed and people have to think out some idea like to prevent using too much natural resources.,"3,3,2,2,2","4,3,2,1,1","3,4,3,4,4","transformer,cnn",2.4,2.2,3.6
This is more than convenient for the authority to take better control of the society down to every individual.,This is more than convenient for the authority to take better control of society down to every individual.,"3,3,4,1,3","3,3,4,1,2","3,4,4,4,2",transformer,2.8,2.6,3.4
We benefit from Surveillance technology for many years and in many ways.,We benefit from surveillance technology for many years and in many ways.,"2,3,4,3,3","2,3,4,2,3","3,4,3,3,3","smt,lstm,transformer",3.0,2.8,3.2
The concurrent result is increasing size of population.,The concurrent result is an increasing size of population.,"3,3,4,3,4","3,3,4,2,4","3,4,3,3,4",copy-net,3.4,3.2,3.4
They do not want to bother to spend so much time in raising and nurturing children.,They do not want to bother to spend so much time raising and nurturing children.,"3,3,4,4,4","3,3,4,3,4","3,4,4,3,3",copy-net,3.6,3.4,3.4
"After a country was just founded, some immature policy leaded to a nationwide hunger.","After a country was founded, some immature policies led to a nationwide hunger.","3,3,4,3,3","3,2,4,2,2","3,3,3,3,2",copy-net,3.2,2.6,2.8
"However, as the technology develops, it increased people's mobility and productivity so as life expectancies.","However, as technology develops, it increases people's accessibility and productivity so as life expectancies.","3,3,3,2,2","4,3,3,1,2","3,4,3,3,3",transformer,2.6,2.6,3.2
The increase in population means the larger the natural resources are needed and people have to think out some idea like to prevent using too much natural resources.,The increase in population means the larger natural resources are needed and people have to think out some ideas like to prevent using too much natural resources.,"2,3,2,2,2","3,3,2,1,2","3,4,4,2,3",copy-net,2.2,2.2,3.2
The modification was so obvious that people can easily recognize.,The modification was so obvious that people can easily recognize.,"4,3,4,2,2","4,3,4,1,1","4,4,4,4,4","smt,lstm,cnn",3.0,2.6,4.0
Rising life expectancies is also an evidence of progress of modern medical technology.,Rising life expectancies are also an evidence of progress of modern medical technology.,"3,3,3,2,3","3,4,4,1,2","3,4,3,3,2",smt,2.8,2.8,3.0
"Obviously, rising of life expectancies is a mark of our achievements in terms of hospitalizing technology, insurance condition, culture development, and our social system, which shows the improvements of people's life quality.","Obviously, rising life expectancies are a mark of our achievements in terms of hospitalizing technology, insurance conditions, cultural development, and our social system, which shows the improvements people's life quality.","2,3,4,2,4","3,4,4,1,3","3,4,4,2,2",smt,3.0,3.0,3.0
"Obviously, rising life expectancies should also be considered as a serious challenge.","Obviously, rising life expectancy should also be considered as a serious challenge.","4,3,4,4,4","4,4,4,3,4","4,4,4,3,2",copy-net,3.8,3.8,3.4
"Disabled people walks with artificial legs, man can getting pregnant, even the sexual of a human can be changed just by doing simple surgery.","Disabled people walk with artificial legs, men can get pregnant, even the sexual sex of a human can be changed just by doing simple surgery.","3,2,4,2,2","3,2,4,1,1","3,3,4,2,3",copy-net,2.6,2.2,3.0
"Thirdly, compared to the young people, the security of the elderly is more notable.","Third, compared to the young people, the security of the elderly are more notable.","4,3,3,2,3","4,3,4,1,2","3,4,3,2,2",smt,3.0,2.8,2.8
"Before robots can fully replace labor, the decreasing of generating power indicate less creativity and less goods available for us to use.","Before robots can fully replace labor, decreasing generating power indicates less creativity and less goods available for us to use.","3,3,4,2,4","3,3,4,1,4","3,4,3,2,2",smt,3.2,3.0,2.8
"If a country can bear a ageing population, it is a thing that the country can be proud of.","If a country can bear an ageing population, it is a thing that the country can be proud of.","2,3,4,3,4","3,4,4,2,4","3,4,4,3,4","lstm,copy-net,transformer",3.2,3.4,3.6
There are also some older people live a rich life with their deposits and retirement compensation.,There are also some older people live a rich life with their deposits and retirement compensation.,"3,3,3,2,2","3,2,3,1,1","3,4,4,4,4",smt,2.6,2.0,3.8
Infectious disease is also a life killer.,Infectious disease is also a life killer.,"4,3,4,4,4","4,4,4,2,4","4,4,4,4,4","lstm,copy-net,cnn",3.8,3.6,4.0
"There has been a report estimated that at the year 2060, only half of the population in Japan are suitable to work.","There has been a report estimated that in the year 2060, only half of the population in Japan are suitable to work.","3,3,4,2,3","3,3,4,1,2","3,4,3,3,3",smt,3.0,2.6,3.2
"The more old people the country has, the more experience they will be as most elderly people can share their old experiences with the younger generation and making them not make the same mistakes as them.","The older people the country has, the more experience they will be as most elderly people can share their old experiences with the younger generation and making them not make the same mistakes as them.","3,3,3,1,2","3,3,3,1,1","3,4,4,3,4",lstm,2.4,2.2,3.6
Rising life expectancies can be a pro to family affairs.,Rising life expectancies can be a pro to family affairs.,"4,3,3,3,4","4,3,3,3,4","4,4,3,4,4",cnn,3.4,3.4,3.8
"In my opinion, I think we should study balance it well, one side we should continue to make efforts to raise the humans life, one side, we should consider using asking some sick old men whether if they want to take euthanasia.","In my opinion, I think we should study balance it well, one side we should continue to make efforts to raise the human life, one side, we should consider using asking some sick old men whether if they want to take euthanasia.","2,2,3,3,2","2,1,3,3,2","4,3,3,4,4",cnn,2.4,2.2,3.6
"On the other hand, when we allow surveillance technology being used to track people, it increases the successful rate of people taking bad actions.","On the other hand, when we allow surveillance technology to track people, it increases the successful rate of people taking bad actions.","3,3,3,3,3","3,2,3,3,4","3,1,3,3,3","transformer,cnn",3.0,3.0,2.6
"Recently, many of cell phone are equipped with GPS which means that they can find the device's location if it is lost.","Recently, many cell phones are equipped with GPS which means that they can find the device's location if they are lost.","4,3,2,3,4","4,3,3,3,4","3,2,3,4,3",lstm,3.2,3.4,3.0
"As we are human who are different from other animals, we have some basic rights like right to privacy, right to live, right to have a family and so on.","As we are humans who are different from other animals, we have some basic rights like the right to privacy, right to live, right to have a family and so on.","4,2,3,3,4","4,2,4,3,4","4,3,3,4,3",smt,3.2,3.4,3.4
This form of tools does not harm but it helps in the ability to identify any person who is not carrying any identification when comes to emergency.,This form of tools does not harm but it helps in the ability to identify any person who is not carrying any identification when comes to an emergency.,"3,3,3,3,3","3,3,4,3,2","4,4,3,4,3","transformer,cnn",3.0,3.0,3.6
"On the other hand, the birth rate in many countries keeps decreasing, whose figure is the lowest record comparing to previous figure.","On the other hand, the birth rate in many countries keeps decreasing, whose figure is the lowest record compared to previous figures.","3,2,3,3,2","3,1,3,3,2","3,2,3,4,3",smt,2.6,2.4,3.0
"For example, they encourage people to have more children by awarding them.","For example, they encourage people to have more children by awarding them.","3,4,4,3,4","4,4,4,3,4","4,4,4,4,4","smt,lstm,copy-net,cnn",3.6,3.8,4.0
"Furthermore, such tracking on individuals is done without permission of the subject person.","Furthermore, such tracking on individuals is done without permission for the subject person.","3,4,3,3,3","3,4,3,3,3","3,2,3,4,4",lstm,3.2,3.2,3.2
This fact becomes very controversial among people and the possibility of personal information releasing without knowing also brings the public's concern.,This fact becomes very controversial among people and the possibility of personal information releasing without knowing it also brings the public's concern.,"2,4,3,3,2","2,4,4,3,2","3,2,3,4,3",transformer,2.8,3.0,3.0
"Also, the population ageing calls for a higher standard of medical treatment and technology, higher level of civilization of our life.","Also, the ageing population calls for a higher standard of medical treatment and technology, higher level of civilization in our lives.","3,3,3,3,2","2,3,3,2,2","4,2,3,3,3",transformer,2.8,2.4,3.0
"Since RFID tags attached to the product can remain functional for a long period of time, it could be misused for surveillance purposed which are not related to the industries production or supply activities.","Since RFID tags attached to the product can remain functional for a long period of time, it could be misused for surveillance purposed which are not related to the industries production or supply activities.","2,2,3,3,3","2,1,3,3,3","4,2,3,4,4","smt,copy-net,cnn",2.6,2.4,3.4
"Although we have to admit some bad effect which is brought up by the new technology, still the advantages of the new technologies cannot be simply discarded.","Although we have to admit some bad effects which are brought up by the new technology, still the advantages of the new technologies cannot be simply discarded.","3,3,2,3,3","3,3,3,3,2","4,2,3,4,3",copy-net,2.8,2.8,3.2
"In history, there were times when the government wants to secure its gorvernance so badly that its police sniffed around people like dogs, such as the Nazi Germany, the Soveit Union.","In history, there were times when the government wanted to secure its gorcotance so badly that its police sniff around people like dogs, such as the Nazi Germany Union.","1,2,2,3,2","1,1,3,3,3","1,2,3,3,2",transformer,2.0,2.2,2.2
This survey evidently shows that big achievement has been made in the medical area and people's living standard has been improved.,This survey evidently shows that a big achievement has been made in the medical area and people's standard has improved.,"3,4,3,3,4","3,4,4,3,4","2,1,3,4,3",lstm,3.4,3.6,2.6
People are able to predicate some disasters like the earth quake and do the prevention beforehand.,People are able to predicate some disasters like earth quake and prevention beforehand.,"3,3,3,3,2","3,2,4,3,3","2,1,3,3,2",smt,2.8,3.0,2.2
All these contributions by using the surveillance technology to track make the environment safer.,All these contributions by using surveillance technology to track make the environment safer.,"3,2,3,3,3","3,1,3,3,2","4,1,3,4,4",smt,2.8,2.4,3.2
The achievement is some kind of a comparison with the history in the past.,The achievement is some kind of a comparison with history in the past.,"4,4,3,3,3","4,4,4,3,3","4,2,3,4,4","lstm,transformer,cnn",3.4,3.6,3.4
"In late nineteenth century, there was a severe air crash happening at Miami international airport.","In the late nineteenth century, there was a severe air crash happening at Miami international airport.","3,4,3,3,4","3,4,3,2,4","4,2,3,4,4",smt,3.4,3.2,3.4
Tracking people using surveillance technology can make better security of people's life.,Tracking people using surveillance technology can make better security for people's lives.,"3,4,3,3,4","3,4,3,3,3","3,2,3,3,3","lstm,cnn",3.4,3.2,2.8
"When I work, it seems I am holding my heart working since if I am doing something wrong or relax in working time.","When I work, it seems I am holding my heart working since if I am doing something wrong or relaxing at work time.","2,2,2,3,3","2,1,3,3,3","4,2,3,4,3",lstm,2.4,2.4,3.2
No matter which reason stated above exactly dominant to the rising of life expectancies it is one of the evidence of the achievement of human nation.,No matter which reason stated above exactly dominant to rising life expectancies it is evidence of the achievement of human nation.,"2,1,2,3,2","2,1,3,3,2","3,2,3,3,3",smt,2.0,2.2,2.8
"Hence, when the ratio of the seniors whose age is above 60 reaches some certain point, the challenge to the society cannot be neglect anymore.","Hence, when the ratio of the seniors whose age is above 60 reaches a certain point, the challenge to society cannot be neglected anymore.","3,4,3,3,4","3,4,4,3,4","4,2,3,4,3",lstm,3.4,3.6,3.2
"Hackers become increasingly vicious, invading into our computer system, now with radio-frequency tracking device, this may fall into inappropriate hands for the wrong reasons.","Hackers become increasingly vicious, invading into our computer system, now with a radio-frequency tracking device, this may fall into inappropriate hands for the wrong reasons.","2,2,3,3,3","2,1,3,3,3","4,3,3,4,3",cnn,2.6,2.4,3.4
"The only way is to develop technology but the chance to develop is based on people's wisdom and creativity, which is decreasing due to population aging.","The only way is to develop technology, but the chance to develop is based on people's wisdom and creativity, which is decreasing due to population aging.","2,3,3,3,4","3,3,3,3,4","3,4,3,3,3",transformer,3.0,3.2,3.2
Many science fictions have made good efforts in describing a future of human in which every body in society is put under close surveilliance of the governments.,Many science fiction have made good efforts in describing the future of humans in which every body in society is put under close surveilliance of the governments.,"3,2,2,3,2","3,1,3,3,2","3,2,3,4,3",copy-net,2.4,2.4,3.0
"However, this shall not be entangled with the idea that high life expectancy equates of a nation's provision of quality healthcare benefits and livings for the senior citizens.","However, this shall not be entangled with the idea that high life expectancy equates of a nation's provision of quality healthcare benefits and livings for senior citizens.","3,3,3,3,2","3,2,3,3,3","3,2,3,4,3",lstm,2.8,2.8,3.0
Then why would they agree to put themselves into those societies?,Then why would they agree to put themselves into those societies?,"4,4,4,3,4","4,4,4,4,4","4,4,4,4,4","smt,lstm,copy-net,cnn",3.8,4.0,4.0
"It can help regulate behaviors, prevent crime and set up demographic data base for various uses.","It can help regulate behaviors, prevent crime and set up demographic data base for various uses.","4,3,3,3,4","4,2,3,3,4","4,4,3,4,4","smt,copy-net",3.4,3.2,3.8
"However, in this very non-ideal world where corruption is abundance, wide usage of such surveillance technology and accurate tracking is potentially a dangerous, perverted and deadly weapon.","However, in this very non-ideal world where corruption is abundance, wide usage of such surveillance technology and accurate tracking is potentially dangerous, perverted and deadly weapons.","3,2,3,3,2","3,1,3,3,2","4,2,3,4,3",smt,2.6,2.4,3.2
"On medicine, people have done a lot of researches on life science.","On medicine, people have done a lot of researches on life science.","3,2,4,3,2","2,1,4,3,2","4,4,4,3,4",cnn,2.8,2.4,3.8
"Some people may claim that it is good for security as when every one is under tracking, those poteintial criminals also are.","Some people may claim that it is good for security as when every one is under tracking, those potatoes intial criminals also.","1,1,3,3,2","1,1,3,3,2","1,1,3,3,3",smt,2.0,2.0,2.2
"First, if the older people increase, there will be fewer workforces that can support the society.","First, if the older people increase, there will be fewer workforces that can support society.","3,3,3,3,3","2,2,3,3,4","4,2,3,4,3",cnn,3.0,2.8,3.2
"It is an achievement of our society, but it is also a great challenge calling us to face the new situation.","It is an achievement of our society, but it is also a great challenge calling us to face a new situation.","3,4,2,3,3","3,4,3,3,3","3,2,3,4,3",copy-net,3.0,3.2,3.0
"Then if his house got stolen, the perhaps he can use the surveillance to get his money back.","Then if his house got stolen, perhaps he could use the surveillance to get his money back.","4,4,3,3,4","3,4,3,4,4","3,2,3,4,3",lstm,3.6,3.6,3.0
Policeman can just go to the certain place and chase the criminal.,Policeman can just go to a certain place and chase the criminal.,"4,3,2,3,4","3,3,3,3,4","3,2,3,4,3","smt,lstm,transformer,cnn",3.2,3.2,3.0
"Moreover, as showed in many Hollywood movies, Google mail is also accessible for FBI.","Moreover, as shown in many Hollywood movies, Google mail is also accessible for the FBI.","3,4,2,3,4","3,4,2,3,4","3,4,3,3,3","smt,copy-net,transformer,cnn",3.2,3.2,3.2
Such a nightmare owes to abuse of Surveillance technology.,Such a nightmare owes to abuse surveillance technology.,"3,2,3,3,3","3,1,3,3,3","4,3,3,3,3",transformer,2.8,2.6,3.2
"Statistics shows that worldwide, the average life expectancy at birth was 66.57 years for 2009 according to CIA World Factbook 2009.","Statistics show that worldwide, the average life expectancy at birth was 66.57 years for 2009 according to CIA World Factbook 2009.","4,4,3,3,4","4,3,3,3,3","3,4,3,4,4","copy-net,cnn",3.6,3.2,3.6
Rising life expectancies is an achievement but it poses more challenges to government and people.,Rising life expectancies is an achievement but it poses more challenges to the government and people.,"4,4,3,3,4","4,4,3,4,4","4,2,3,4,4","smt,cnn",3.6,3.8,3.4
This significantly raised people's average life expectancy.,This significantly raised people's average life expectancy.,"4,4,4,3,4","4,4,4,3,4","4,4,4,4,4","smt,lstm,copy-net,transformer,cnn",3.8,3.8,4.0
All have to work hard and cooperate to deal with these challenges on the way of meeting expectancies.,All have to work hard and cooperate to deal with these challenges on the way of meeting expectations.,"3,3,3,3,2","3,2,3,3,2","3,2,3,4,3",transformer,2.8,2.6,3.0
"That is to say, there are more and more doubts raised by the public about the surveillance technology.","That is to say, there are more and more doubts raised by the public about the surveillance technology.","3,3,3,3,4","4,3,3,4,4","3,4,3,4,4","smt,copy-net",3.2,3.6,3.6
"In the first case, RFID can be used to help parents to surveillance their children so that they can make sure if they are at school or playing around at his friends' home, and this may help parents regulate their children's behavior.","In the first case, RFID can be used to help parents to surveillance their children so that they can make sure if they are at school or playing around at his friends' home, and this may help parents regulate their children's behavior.","3,2,3,3,3","3,1,3,3,2","3,3,3,3,4","smt,copy-net,cnn",2.8,2.4,3.2
Not Being Imprisoned by Surveillance Technology,Not Being Prison by Surveillance Technology,"2,2,4,3,2","2,1,4,4,2","2,1,3,3,2",transformer,2.6,2.6,2.2
They do not want to bother to spend so much time in raising and nurturing children.,They do not want to bother to spend so much time raising and shaping children.,"4,2,3,3,4","3,1,3,4,4","2,2,3,3,3",transformer,3.2,3.0,2.6
"Although we have to admit some bad effect which is brought up by the new technology, still the advantages of the new technologies cannot be simply discarded.","Although we have to admit some bad effects which is brought up by the new technology, still the advantages of the new technologies cannot be simply discarded.","3,2,3,3,2","3,1,3,3,2","3,1,3,4,3",cnn,2.6,2.4,2.8
Every moves of us are being closely surveilled and followed once we stepped out of homes.,Every moves of us are being closely surveilled and followed once we stepped out of homes.,"3,2,3,3,2","2,1,3,3,2","3,4,3,3,3",smt,2.6,2.2,3.2
"The surveillance is a useful method to keep society's safe, but also kills the privacy of people in some degree.","The surveillance is a useful method to keep society's safe, but also kills the privacy of people to some degree.","4,2,2,3,3","4,3,2,3,4","3,3,3,4,4",copy-net,2.8,3.2,3.4
"In economic, we can use GDP to explain the challenge, if GDP is low, it shows that most of people are living in a hard life, life quality is bad, then it will cause the terrible society problem, at last, it will happen the society disturbance.","In economic, we can use GDP to explain the challenge, if GDP is low, it shows that most people are living a hard life, life quality is bad, then it will cause the terrible society problem, at last, it will happen the society distress.","3,3,2,3,2","3,2,2,3,1","3,3,4,3,4",transformer,2.6,2.2,3.4
"In a Chinese kindergarten, Children were always abused by a teacher but no one else knows that.","In a Chinese kindergarten, children were always abused by a teacher but no one else knows that.","4,4,4,2,2","4,4,3,3,1","4,4,4,3,3","smt,cnn",3.2,3.0,3.6
This ability is not seen 40 years back where the technology advances were not as good as now.,This ability is not seen 40 years back where the technology advances were not as good as now.,"4,3,3,3,3","4,3,3,4,2","4,4,4,3,4",copy-net,3.2,3.2,3.8
Two of the most important causes of ageing problem is the increasing longevity and declining fertility.,Two of the most important causes of an ageing problem is the increasing longevity and declining fertility.,"4,3,3,3,3","4,3,4,3,3","4,4,4,3,3",lstm,3.2,3.4,3.6
"In the long history of the evolution, we are always struggling for life against staving and illness.","In the long history of evolution, we are always struggling for life against the staving and illness.","3,3,3,2,4","4,2,3,3,4","4,4,4,3,3",cnn,3.0,3.2,3.6
Projections of the United Nations indicate that the population aged 60 or over in developed and developing countries is increasing at 2% to 3% annually.,Projections of the United Nations indicate that the population aged 60 or over developed and developing countries is increasing at 2% to 3% annually.,"3,3,3,3,2","4,2,3,3,1","4,3,3,3,3",lstm,2.8,2.6,3.2
The reason why it will happen is because people have violated the natural regulation.,The reason why this happens is because people have violated the natural regulation.,"4,4,4,2,4","4,4,3,3,4","4,4,4,3,1","smt,copy-net",3.6,3.6,3.2
"With the installing of the surveillances for every corner of Singapore, people's life has a safe security, and criminals are deterred by these electrical instruments.","With the installing of the surroundings for every corner of Singapore, people's lives are safe, and criminals are deterred by these electrical instruments.","4,3,4,3,2","4,2,4,4,1","4,4,2,3,1",transformer,3.2,3.0,2.8
"With the ageing population, many countries are facing the same challenge as to build safety houses, facilities to cater to the old aged.","With the ageing population, many countries are facing the same challenges as building safe houses, facilities to cater to the elderly.","3,3,3,3,3","4,3,3,3,3","4,4,2,3,3",smt,3.0,3.2,3.2
"Subsequently, a lot of problems regarding to it are arising.","Subsequently, a lot of problems regarding it arise.","4,4,4,2,4","4,4,4,2,4","4,4,3,3,2",copy-net,3.6,3.6,3.2
"Actually, not only for scientific observations but also during adventure journeys or travelling, RFID can defend human beings from harm.","Actually, not only for scientific observations but also during adventure journeys or travelling, RFID can defend human beings from harm.","4,3,4,3,3","4,3,3,3,2","4,4,4,3,4","smt,copy-net,cnn",3.4,3.0,3.8
"Even if the safety is the most important thing to consider in normal life, many people still want to keep their privacy in spite of existing some potential danger.","Even if safety is the most important thing to consider in normal life, many people still want to keep their privacy in spite of existing some potential danger.","3,3,3,3,2","3,3,3,3,1","4,4,4,3,3","lstm,copy-net,transformer,cnn",2.8,2.6,3.6
There are also medical tools that are more of implant into the human body for the basic medical research.,There are also medical tools that are more of an implant into the human body for the basic medical research.,"4,4,3,3,3","4,3,3,3,3","4,4,3,3,3",lstm,3.4,3.2,3.4
"Moreover, the money spend on telephone call record is $1.8 million per year.","Moreover, the money spent on telephone calls records is $1.8 million per year.","3,3,4,3,3","4,3,4,4,3","4,4,4,3,3",copy-net,3.2,3.6,3.6
We need CCTV in every public corner to track suspicious.,We need CCTV in every public corner to track the suspect.,"4,4,4,2,4","4,3,4,2,4","4,3,3,3,1",cnn,3.6,3.4,2.8
Rising life expectancies can bring us more skilled work force because we can delay the retirement time to extend working time for each person.,Rising life opportunities can bring us more skilled work force because we can delay the retirement time to continue working time for each person.,"4,3,3,3,3","4,2,3,3,2","4,4,2,3,1",lstm,3.2,2.8,2.8
"In countries like Singapore, manpower is the only natural resources available which Singapore can invest on as she does not have enough lands to build farms and factories.","In countries like Singapore, manpower is the only natural resource available which Singapore can invest on as she does not have enough land to build farms and factories.","4,3,4,3,4","4,3,4,4,4","4,4,4,3,2",smt,3.6,3.8,3.4
"If our spiritual aspect of civilization cannot match our material aspect, old people will have a tough twilight years.","If our spiritual aspect of civilization cannot match our material, old people will have a tough twilight years.","4,3,3,3,3","4,3,3,3,3","4,4,4,3,1",lstm,3.2,3.2,3.2
This fact becomes very controversial among people and the possibility of personal information releasing without knowing also brings the public's concern.,This fact becomes very controversial among people and the possibility of personal information releasing without knowing also brings the public's concern.,"3,3,3,3,2","4,3,3,3,1","4,4,4,3,4","lstm,copy-net,cnn",2.8,2.8,3.8
"Then try to invent new energy and legitimately control population birth rate, then developing the medical treatment and paying enough attention, we have reasons to trust, population aging will not be problem at all.","Then try to invent new energy and monopoly the population's birth rate, then developing the medical treatment and paying enough attention . We have reasons to trust, population aging will not be a problem at all.","3,2,2,2,1","3,2,2,3,1","4,1,2,3,2",transformer,2.0,2.2,2.4
"As our society develops, the people have a much higher living standard, which will reduce the chance of getting disease.","As our society develops, the people have a much higher living standard, which will reduce the chance of getting disease.","4,4,4,3,3","4,3,4,4,3","4,4,4,3,4",copy-net,3.6,3.6,3.8
"On the other hand, I will also discuss the RFID shall be utilized for good purposes.","On the other hand, I will also discuss the RFID shall be utilized for good purposes.","4,1,3,2,2","4,3,3,3,2","4,4,4,3,4","smt,lstm,cnn",2.4,3.0,3.8
"Compared with the world of ancient Rome or China where almost no machines are involved, people nowadays are producing batches and batches of merchandises in factories.","Compared with the world of ancient Rome or China where almost no machines are involved, people nowadays are producing batches and batches of merchandise in factories.","4,3,4,3,3","4,3,4,3,3","4,4,3,3,2","lstm,cnn",3.4,3.4,3.2
"In the social science report last year, this number will further increase to 90 years old in 2080s due to the advance medical technology and better living standard.","In the social science report last year, this number will further increase to 90 years old in 2080s due to the advanced medical technology and better living standard.","4,3,3,3,3","4,3,3,3,3","4,4,4,3,3",lstm,3.2,3.2,3.6
Rising life expectancies is a two-sided sword which is both a challenge and an achievement.,Rising life expectancies is a two-sided sword which is both a challenge and an achievement.,"4,4,4,2,4","4,4,4,3,4","4,4,4,3,4","smt,cnn",3.6,3.8,3.8
This from also can be used as a tracking device where the places a person visited for the past few trips were all recorded by the system and the cards.,This from also can be used as a tracking device where the places a person visited for the past few trips were all recorded by the system and the cards.,"3,2,1,3,1","3,2,1,3,1","4,2,4,3,4","smt,copy-net,transformer,cnn",2.0,2.0,3.4
We have to say that the older people are becoming a black hole for the entire society in terms of man power and resources.,We have to say that the older people are becoming a black hole for the entire society in terms of man power and resources.,"4,4,3,3,3","4,4,3,4,3","4,4,4,3,4","smt,lstm,copy-net",3.4,3.6,3.8
"Back to the ancient days, when human beings firstly appeared on the earth, the average life expectancy is only less than 20.","Back to ancient days, when human beings first appeared on the earth, the average life expectancy is only less than 20.","3,3,3,2,3","4,3,3,3,2","4,4,4,3,2",lstm,2.8,3.0,3.4
"Therefore, the usages of RFID chips were more useful to help the human in the basic needs or task that is required.","Therefore, the usages of RFID chips were more useful to help humans in the basic needs or tasks that are required.","4,3,3,3,3","4,3,2,3,3","4,4,4,3,3",transformer,3.2,3.0,3.6
Tracking people using surveillance technology can make people's life more convenient and identifiable.,Accking people using surveillance technology can make people's lives more convenient and identification.,"3,2,1,3,1","3,2,1,4,2","3,2,1,3,1",transformer,2.0,2.4,2.0
"In China, things like that will happen because the legal system is not sound enough.","In China, things like that will happen because the legal system is not sound enough.","4,4,4,4,4","4,4,4,4,4","4,4,4,4,4",smt,4.0,4.0,4.0
Rising life expectancy is a challenge in a sense that it is highly relied on development of medication.,Rising life expectancy is a challenge in a sense that it is highly dependent on the development of medication.,"4,4,4,3,4","4,4,4,3,4","4,4,2,3,2",copy-net,3.8,3.8,3.0
"For example, it could be installed in personal lockers to record other's moves and actions.","For example, it could be installed in personal lockers to record others' moves and actions.","4,4,4,3,4","4,4,4,4,4","4,4,4,3,3","lstm,transformer",3.8,4.0,3.6
"In order to cope with the ageing population that pulls down or hinders the economic development, more physically capable and young workforces are required in the society.","In order to cope with the ageing population that pulled down or hinders economic development, more physically capable and young workforces are required in the society.","3,3,3,3,3","4,3,3,3,2","4,4,2,3,2",transformer,3.0,3.0,3.0
Human rights were raised up pretty frequently in the world over the past few years.,Human rights were raised pretty frequently in the world over the past few years.,"4,4,3,3,4","4,4,3,3,4","4,4,3,3,3","lstm,transformer,cnn",3.6,3.6,3.4
"From the view of my point, I think the application should only be authorized by people in some specific fields like politics and public security.","From the view of my point, I think the application should only be authorized by people in some specific fields like politics and public security.","4,3,4,3,2","4,3,4,4,1","4,4,4,3,4","smt,lstm,cnn",3.2,3.2,3.8
The person in the record had been changed with another one before it was released to the public.,The person in the record had been changed with another person before it was released to the public.,"3,4,1,2,4","3,3,1,3,4","4,4,4,3,4",transformer,2.8,2.8,3.8
An even larger share of the old people expense lies in the health care.,An even larger share of the old people expense lies in health care.,"4,3,4,3,3","4,3,4,3,3","4,4,4,3,4",lstm,3.4,3.4,3.8
This form of tracking were also not harmful to any person where they much of these information were all used for helping a person then disrupt the lives of human race.,This form of tracking were also not harmful to any person where they much of these information were all used for helping a person then disrupt the lives of the human race.,"3,2,3,3,2","3,2,2,3,1","4,4,4,3,3",smt,2.6,2.2,3.6
"The super markets are also using this technology to tag their product, which can record the conditions of all of the products in time and prevent of stealing.","The super markets are also using this technology to tag their product, which can record the conditions of all of the products in time and prevent stealing.","4,3,4,3,3","4,2,4,3,2","4,4,4,3,3","copy-net,cnn",3.4,3.0,3.6
"Therefore, the only way available for us to destroy such a balance is accelerating the progress of development so to increase the capacity of our planet.","Therefore, the only way available for us to destroy such a balance is accelerating the progress of development so as to increase the capacity of our planet.","4,4,3,2,4","4,3,2,3,4","4,4,4,3,2",copy-net,3.4,3.2,3.4
Tracking people using surveillance technology can make people's life more convenient and identifiable.,Tracking people using surveillance technology can make people's lives more convenient and reliable.,"4,4,4,3,4","4,3,4,3,4","4,2,3,3,2",lstm,3.8,3.6,2.8
"Due the rise of the life span and the shrink of the birth rate, the portion of the elderly portion is larger and larger.","Due to the rise of the life span and the shrinking of the birth rate, the portion of the elderly portion is larger and larger.","3,3,3,2,4","4,2,2,2,4","4,4,4,3,1","transformer,cnn",3.0,2.8,3.2
"In conclutin, the rising life expectancies can be considered both challenge and achievement.","In conclusion, the rising life expectancy can be considered both challenge and achievement.","4,4,4,3,3","4,4,4,3,2","4,3,4,3,1",lstm,3.6,3.4,3.0
Shadow was made on children's heart and there is nothing we can do to make up for it.,The shadow was made into children's hearts and there is nothing we can do to make up for it.,"3,4,2,3,3","3,2,1,4,3","4,4,4,3,2",copy-net,3.0,2.6,3.4
"When the percentage of old people grows larger in the population, the labor is considered to become less and each labor need to pay more on the welfare of the old people.","When the percentage of older people grows larger in population, labor is considered becoming less and each labor needed to pay more on the welfare of old people.","3,3,1,3,2","3,2,1,3,1","4,4,4,3,1",smt,2.4,2.0,3.2
"With the development of society, of the past thousands of years, the technology is progressing and the concern for health is arising, so that higher life expectancies are achieved.","With the development of society, of the past thousands of years, technology is progressing and the concern for health is rising, so that higher life expectancies are achieved.","4,3,3,3,3","4,3,3,3,2","4,4,4,3,2",transformer,3.2,3.0,3.4
